x,y,maze,label,session,trial_id,choice
0.5675999280065298,0.4025301792426035,3,0.0,june_16_g0,181,4
0.5702199279330671,0.5546301720896736,2,1.0,june_16_g0,182,2
-0.08871005359105766,0.32882018270902336,3,1.0,june_16_g0,183,3
-0.09657005337066948,-0.033879800233989954,5,1.0,june_16_g0,184,3
0.7169399238191545,1.3092801366001368,3,1.0,june_16_g0,185,4
-0.01535005564801395,0.7231101641664281,6,1.0,june_16_g0,186,2
1.0483699145261198,0.44114017742685974,4,1.0,june_16_g0,187,3
0.05276994244195521,-0.21054979192558676,6,1.0,june_16_g0,188,3
0.4038499325979501,0.15566019085235894,6,1.0,june_16_g0,189,3
0.012159943580627441,1.9410801068879664,3,0.0,june_16_g0,190,3
-0.2577000488527119,-0.0853597978129983,2,1.0,june_16_g0,191,4
0.3828899331856519,-0.3766897841123864,2,1.0,june_16_g0,192,3
0.16673993924632668,0.1626801905222237,1,0.0,june_16_g0,193,1
0.559739928226918,-0.5042197781149298,5,1.0,june_16_g0,194,2
1.915589890209958,-0.5170897775096819,4,1.0,june_16_g0,196,2
-0.7712200344540179,0.6751401664223522,3,0.0,june_16_g0,199,4
0.031809943029657006,-0.07482979830820113,4,1.0,june_16_g0,200,3
-0.08740005362778902,0.08897019398864359,6,1.0,june_16_g0,201,3
-0.1214600526727736,-0.6141997729428113,6,1.0,june_16_g0,202,4
-0.11753005278296769,-0.7920397645793855,3,0.0,june_16_g0,203,2
0.18900993862189353,-0.5159197775647044,5,1.0,june_16_g0,204,1
0.13660994009114802,-0.22575979121029377,2,1.0,june_16_g0,205,4
0.812569921137765,-0.3053197874687612,6,1.0,june_16_g0,206,1
0.4562499311286956,0.062060195254161954,4,1.0,june_16_g0,208,1
0.1876999386586249,0.12524019228294492,5,1.0,june_16_g0,209,3
-0.2118500501383096,0.1474701912375167,6,1.0,june_16_g0,211,4
0.2990499355364591,-0.5779297746485099,5,1.0,june_16_g0,212,3
-0.03238005517050624,0.4025301792426035,5,1.0,june_16_g0,213,3
0.5217499292921275,0.3896601798478514,4,1.0,june_16_g0,214,1
0.6291699262801558,0.8611701576737687,6,1.0,june_16_g0,215,2
0.3972999327816069,0.11120019294321537,6,1.0,june_16_g0,216,1
-0.0074900558684021235,0.6482301676878706,1,0.0,june_16_g0,217,3
0.09730994119308889,0.06908019492402673,4,1.0,june_16_g0,220,3
0.2990499355364591,2.3786600863095373,6,1.0,june_16_g0,221,2
-0.024520055390894413,0.25160018634051085,1,0.0,june_16_g0,223,3
0.3304899346549064,1.0050801509059966,4,1.0,june_16_g0,224,4
-0.024520055390894413,-0.40359978284686804,1,1.0,june_16_g0,225,4
-0.0795400538481772,1.2191901408368722,6,1.0,june_16_g0,226,1
0.5505699284840375,0.11120019294321537,1,0.0,june_16_g0,227,4
-0.22495004977099597,0.2282001874409616,5,1.0,june_16_g0,228,1
-0.16207005153410137,-0.0759997982531786,3,1.0,june_16_g0,230,2
0.26629993645474315,0.2586201860103756,6,0.0,june_16_g0,231,2
-0.04286005487665534,1.5163701268611476,3,0.0,june_16_g0,232,2
0.6606099253986031,0.3463701818836853,5,1.0,june_16_g0,233,2
-1.2310300215613097,1.269500138470903,1,0.0,june_16_g0,234,2
0.09337994130328298,0.002390198060311377,2,1.0,june_16_g0,235,4
-0.5590000404044986,1.879070109804161,2,0.0,june_16_g0,236,2
0.5518799284473062,0.5815401708241552,5,1.0,june_16_g0,237,2
-0.5943700394127518,1.661450120038353,3,0.0,june_16_g0,238,2
0.15625993954017758,-0.019839800894260406,6,1.0,june_16_g0,239,3
0.6383399260230362,0.9559401532169431,4,1.0,june_16_g0,240,2
0.6606099253986031,0.8857401565182954,1,0.0,june_16_g0,241,1
0.29773993557319045,1.039010149310343,6,1.0,june_16_g0,242,2
0.7798199220560491,0.03515019651968032,5,1.0,june_16_g0,243,4
0.4352899317163974,0.5979201700538397,1,0.0,june_16_g0,244,4
0.4287399319000542,0.4423101773718372,1,0.0,june_16_g0,246,3
0.39860993274487555,0.3019101839745417,3,1.0,june_16_g0,247,4
-0.012730055721476674,0.0328101966297254,2,1.0,june_16_g0,248,3
0.0697999419644475,0.8260701593244448,5,1.0,june_16_g0,249,2
0.09599994122982025,-0.27021978911943734,3,0.0,june_16_g0,250,1
1.069329913938418,0.030470196739770472,1,0.0,june_16_g0,251,2
0.13660994009114802,1.2964101372053847,3,1.0,june_16_g0,252,3
-0.2773500483017415,0.30425018386449665,4,1.0,june_16_g0,253,3
-0.08085005381144583,0.34754018182866275,5,1.0,june_16_g0,254,1
-0.15159005182795227,0.9887001516763121,1,0.0,june_16_g0,255,3
