scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
all,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,258,1,0.985,0.48068669527896996
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,1295,6,0.8614235477789932,0.49845460355260657
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,194,1,0.9627071823204421,0.5242243943901402
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,177,1,0.7790535956580733,0.3976255088195387
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),3,100,194,1,0.8975951374207187,0.49445031712473575
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,213,1,0.7950136612021858,0.45273224043715843
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),5,100,259,1,0.8356679934680546,0.5595019391712595
all,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),6,100,258,1,0.8952575107296137,0.527725321888412
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,1295,6,0.9803689420081169,0.5062935989481607
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,1,100,194,1,1.0,0.5
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,177,1,0.9771200814111263,0.47720488466757127
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,3,100,194,1,0.9424550739957717,0.5052854122621565
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,213,1,0.990983606557377,0.4972677595628415
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,5,100,259,1,0.9961088997754644,0.5161767707695448
all,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,6,100,258,1,0.9717811158798283,0.5292703862660945
all,Faure,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,1295,1,0.6005238500645187,0.5966481842613344
all,Faure,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,1295,1,0.9290285943669897,0.563143367193488
all,Faure,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,1295,1,0.594537988376944,0.570732795839761
all,Faure,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,1295,1,0.9584758321933424,0.5609919375964141
all,Faure,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,1295,1,0.5646935728769489,0.5636866819959058
all,Faure,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,1295,1,0.5847522581521476,0.5616310601430082
all,Faure,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,1295,1,0.5804894199144279,0.5650316286831407
all,Faure,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,1295,1,0.6369095696170601,0.5635641936141107
all,Faure,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,1295,1,0.5978003027039613,0.5751921005908549
all,Faure,across-maze,"State bigrams, K=6",Random forest,pooled,36,1295,1,0.6457566265001795,0.5837286918725927
all,Faure,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,1295,1,0.6493676082506233,0.554572818736599
all,Faure,across-maze,"State bigrams, K=12",Random forest,pooled,144,1295,1,0.7454003187123439,0.560529877463108
all,Faure,across-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,1295,1,0.5802838577291382,0.5542441617913865
all,Faure,across-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,1295,1,0.9167051716777755,0.5475412579678086
all,Faure,across-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,1295,1,0.6486911934491758,0.5974849860775582
all,Faure,across-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,1295,1,0.93750788291566,0.5949588147975667
all,Faure,across-maze,Maze identity (reference),Logistic (L2),pooled,6,1295,1,0.8406935510473363,0.8406935510473363
all,Faure,across-maze,Maze identity (reference),Random forest,pooled,6,1295,1,0.8406935510473363,0.8406935510473363
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,1746,6,0.645968584185073,0.5157390611229392
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,233,1,0.6796116504854368,0.5383854728514923
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,265,1,0.5813977460142936,0.538574308227964
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,291,1,0.6349254742547426,0.5929539295392954
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,300,1,0.6145156926406927,0.5641233766233766
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,328,1,0.6780032467532469,0.6155844155844157
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,329,1,0.6806630546955624,0.2693498452012384
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,1746,6,0.95436175371231,0.5260864338429753
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,233,1,0.9638843941028407,0.5094390507011867
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,265,1,0.9221412864211105,0.5050852116547554
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,291,1,0.9415311653116532,0.5491869918699187
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,300,1,0.896780303030303,0.5676406926406927
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,328,1,0.992288961038961,0.5256493506493507
all,Nielsen,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,329,1,0.9996130030959752,0.4969040247678019
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,1746,6,0.7091856583376935,0.5143240018287077
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,233,1,0.6903766630708379,0.4949658396260338
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,265,1,0.6084959684808502,0.49935862195345426
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,291,1,0.645630081300813,0.5594850948509485
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,300,1,0.6139745670995671,0.5451839826839826
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,328,1,0.7391233766233767,0.5762987012987013
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,329,1,0.916795665634675,0.4102167182662539
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,1746,6,0.9604522383283922,0.5207029811577822
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,233,1,0.976784430061129,0.4893923049262855
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,265,1,0.9383704416345977,0.5583195895180503
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,291,1,0.9518970189701896,0.5421409214092141
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,300,1,0.907332251082251,0.5303030303030303
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,328,1,0.983198051948052,0.5055194805194805
all,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,329,1,1.0,0.5
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,1746,6,0.6326394059158021,0.4950603691389904
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,233,1,0.6332928802588997,0.5498921251348436
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,265,1,0.5702881619937694,0.45963899578523
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,291,1,0.5922764227642277,0.578319783197832
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,300,1,0.6219561688311688,0.5676406926406927
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,328,1,0.6519480519480519,0.5087662337662338
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,329,1,0.7085913312693499,0.33126934984520123
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,1746,6,0.6794664388037097,0.5128548456539102
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,233,1,0.6605088097806544,0.5316432937792162
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,265,1,0.6311503573391974,0.48350742166025285
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,291,1,0.6780826558265582,0.5979674796747967
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,300,1,0.6367018398268398,0.566017316017316
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,5,6,328,1,0.6806006493506493,0.5253246753246753
all,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,6,6,329,1,0.7708978328173375,0.38699690402476783
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,1746,6,0.6993754927983784,0.4974045499159006
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,233,1,0.7119291621718806,0.46521035598705496
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,265,1,0.6514568444200111,0.5189664650907091
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,291,1,0.6202235772357724,0.5006775067750677
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,300,1,0.6047754329004329,0.538961038961039
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),5,12,328,1,0.6887987012987014,0.5788961038961039
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),6,12,329,1,0.8958978328173375,0.38080495356037153
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,1746,6,0.7776915561316946,0.5068767896688546
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,233,1,0.7459546925566343,0.42781373606616324
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,265,1,0.7442046912222833,0.5143851933296684
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,291,1,0.7557926829268293,0.5779132791327913
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,300,1,0.6934523809523809,0.5579004329004329
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,328,1,0.79375,0.49610389610389616
all,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,329,1,0.9073142414860681,0.4582043343653251
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,1746,6,0.7155705557821962,0.4985239372247487
all,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),1,36,233,1,0.7076591154261057,0.47824523552678894
