scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),2,3,12,2333,0.6391991793195013,0.6387314822609254,0.005513164966965462,0.014362266950712932
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),2,4,12,2367,0.5416663971086124,0.5267412372067748,0.004419743692164393,0.016611403405592865
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),2,5,12,2575,0.6347950501343802,0.6271862287839491,0.00691934813176955,0.028224444255865618
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),2,6,12,2586,0.603133517495396,0.5920920810313075,0.005956813274970202,0.007943033489982137
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),3,4,12,2528,0.5992544479897735,0.5852331309428342,0.0066768863001374175,0.033695032547645366
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),3,5,12,2736,0.5594294675252843,0.5430666911534627,0.0026279918671304383,0.00976320260986861
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),3,6,12,2747,0.5778811815022722,0.5607556802993852,0.002687525003449357,0.012436067696240977
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),4,5,12,2770,0.6081963150011351,0.6004199938240828,0.003701754238684999,0.022437010343639038
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),4,6,12,2781,0.5892460967993755,0.5792474629195941,0.006282252163519168,0.020488814704962652
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Logistic (L2),5,6,12,2989,0.5629609917170361,0.5558419520931274,0.0045722784777267045,0.009427856262651926
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,1,12,1105,nan,0.4858266504180098,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,2,2,12,1086,nan,0.5029465930018416,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,3,3,12,1247,nan,0.48323944314112854,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,4,4,12,1281,nan,0.4915110666926677,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,5,5,12,1489,nan,0.4929389478242044,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,6,6,12,1500,nan,0.5013333333333334,nan,nan
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,2,12,2191,0.6356894202644934,0.5839262351774539,0.0016889354044983009,0.019287909069787227
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,3,12,2352,0.6071034736761893,0.5438478592967012,0.0032160167243591104,0.023441587806873946
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,4,12,2386,0.6296666207466594,0.5692554953885716,0.00625283600981531,0.019462017724632175
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,5,12,2594,0.6374811209807061,0.577071981863986,0.0027450604665789353,0.02622454303355627
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,1,6,12,2605,0.6257481146304675,0.5700678733031674,0.004699490416181538,0.022494202223553573
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,2,3,12,2333,0.6623718286687312,0.6199165289512509,0.005064576048641541,0.02647375892238118
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,2,4,12,2367,0.6016980540064953,0.5232337478057975,0.004271414803318224,0.008119279494264291
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,2,5,12,2575,0.6636761975790543,0.6237821989865522,0.004293347912619517,0.02270463451848359
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,2,6,12,2586,0.6400069060773481,0.5844290976058931,0.0033595397699921737,0.016563345888351844
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,3,4,12,2528,0.6471704612537694,0.5876389048000916,0.007060614849404837,0.0306594412053143
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,3,5,12,2736,0.6179930557313374,0.5530293523798957,0.0051566869489698295,0.015116740167987289
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,3,6,12,2747,0.6280837342956429,0.5684560278000534,0.004889853219635984,0.017922427419925724
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,4,5,12,2770,0.6525791007591975,0.5951025710794067,0.004316611236718741,0.015053379747896946
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,4,6,12,2781,0.6451988680718188,0.5889797033567525,0.005323985987496936,0.020155333786481506
allplus,Faure,deg,"Codebook occupancy (binary), K=12",Random forest,5,6,12,2989,0.6039853928811283,0.5276892769196329,0.0027733229183488045,0.01130545127339078
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,1,36,1105,nan,0.49011190607228033,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),2,2,36,1086,nan,0.5044198895027624,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),3,3,36,1247,nan,0.4865891365189118,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),4,4,36,1281,nan,0.49085364664586584,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),5,5,36,1489,nan,0.4991208414519737,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),6,6,36,1500,nan,0.5145333333333333,nan,nan
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,2,36,2191,0.5838266543336417,0.564929626759331,0.0028814916078837662,0.01589752883778792
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,3,36,2352,0.5527711757085785,0.5173730981504933,0.00584710658142938,0.01096744223024527
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,4,36,2386,0.5644005143040823,0.5371076047064476,0.005685290472822768,0.014232920413658628
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,5,36,2594,0.599828075570777,0.5853501849156255,0.008313768873926939,0.022868224216568055
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),1,6,36,2605,0.6043295625942685,0.5945007541478129,0.004962402850669065,0.0215310147578437
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),2,3,36,2333,0.6152935553615971,0.5918772272607111,0.0031810420209720373,0.02093554226572081
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),2,4,36,2367,0.54433987388996,0.5228563665299468,0.007685508122490916,0.026019536383654153
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),2,5,36,2575,0.6421041752470852,0.6181627206017857,0.007133518304099885,0.02036776270401199
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),2,6,36,2586,0.606481123388582,0.5849668508287293,0.006682377247176563,0.02499852571521752
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),3,4,36,2528,0.5983104180712868,0.5858184545328773,0.004650859437177563,0.005494690665709002
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),3,5,36,2736,0.5944932714269788,0.579497442619843,0.004236940982771714,0.02164662790423992
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),3,6,36,2747,0.6068253809141941,0.5905477145148357,0.007470562754902833,0.012582334957447436
allplus,Faure,deg,"State bigrams, K=6",Logistic (L2),4,5,36,2770,0.6114108195987331,0.5980321997012701,0.004007015690390818,0.019811069154928748
