scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,2448,6,0.7943837609449246,0.552987029393369
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,1,144,356,1,0.7593045112781955,0.5609962406015038
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,348,1,0.772165710621014,0.5713827626750276
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,3,144,379,1,0.7925505050505051,0.5083513708513709
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,408,1,0.7965261130713497,0.5583402914321114
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,464,1,0.8247648902821316,0.5426332288401254
allplus,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,493,1,0.8064405047542877,0.5738469741402292
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,2448,6,0.6321734892511501,0.5418067762148709
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,356,1,0.6204652255639098,0.5040413533834587
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,348,1,0.6380981223500908,0.5299818291944276
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,379,1,0.6327290764790765,0.5651695526695527
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,408,1,0.6370195545021144,0.561949524604735
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,464,1,0.6164576802507837,0.5658307210031348
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,493,1,0.6467997422909446,0.5201835066204568
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,2448,6,0.9592894223671022,0.5411016958058045
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,356,1,0.9672697368421053,0.48468045112781954
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,348,1,0.9478257384116577,0.5565789004881178
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,379,1,0.9529626623376624,0.5188672438672439
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,408,1,0.9527735879548576,0.597206884477604
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,464,1,0.9695141065830721,0.5423197492163009
allplus,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,493,1,0.9622517328712343,0.5404336621345419
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,2448,6,0.7497729390408336,0.5568428254482726
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,356,1,0.7734727443609022,0.581484962406015
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,348,1,0.7422640467452881,0.5077136851106281
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),3,100,379,1,0.7373827561327562,0.5691017316017316
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,408,1,0.7496094486492311,0.5711746168556575
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),5,100,464,1,0.7376959247648902,0.561128526645768
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),6,100,493,1,0.7589864924908913,0.5484093130720696
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,2448,6,0.9599795696595024,0.5470435654067901
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,1,100,356,1,0.971921992481203,0.5522556390977443
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,348,1,0.9558689920547262,0.5278440873623829
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,3,100,379,1,0.9596455627705628,0.5346320346320346
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,408,1,0.9432286476149433,0.5864599886874782
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,5,100,464,1,0.9724921630094043,0.5545454545454546
allplus,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,6,100,493,1,0.9566004620989959,0.5266928818981605
allplus,Faure,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,2448,1,0.5849646125555936,0.5793972374273008
allplus,Faure,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,2448,1,0.9343287611187137,0.5531773862470064
