scope,label_source,feature,variant,k,space,dim,monkey,maze,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,name_H,name_S,n_trials_H,n_trials_S,half_rule,half_H,half_S,half_corr_rule_H,half_corr_rule_S,equal_n,stable_H,stable_S,r_HH,r_SS,r_HS,delta,n_degenerate,n_splits,min_trials,min_stable,n_half,seed
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.8117471928979025,0.7757292196430653,0.6705331034557569,0.12320510281472696,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,0.636566543091482,0.21783191992746018,0.3740964683691604,0.053102763140310705,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.5699287180448404,0.6516911938913126,0.5975582640598935,0.013251691908182872,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.6179646897997909,0.42689453768138075,0.39221669276860405,0.13021292097198178,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.7337422573964327,0.8142081093589473,0.7284803193765359,0.0454948640011541,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.7704441420130765,0.7356608171996049,0.7518376646925444,0.0012148149137962694,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.5898132971372473,0.4478897372669376,0.5454320086507918,-0.02658049144869934,0,20,4,8,,0
top_ten,svm,occupancy_bin,no_origin,12,unith,11,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.32000565919627627,0.15434729787221826,0.26655122886834726,-0.029374750334099975,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_18_g0,0.990064289888954,0.9955191895577635,0.9658094681472823,0.46511627906976744,4H,4S,43,27,stable_shared,13,13,13,13,True,True,True,0.24499561513764806,0.5304319791345938,-0.37963170721053624,0.7673455043466573,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_1_g0,0.96875,0.9744318181818181,0.9217657342657343,0.9030612244897959,4H,4S,54,27,stable_shared,13,13,4,4,True,True,True,0.5800797203087505,0.5725592265166007,0.4379572331234442,0.13836224028923144,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_3_g0,0.999725274725275,1.0,1.0,0.9810606060606061,4H,4S,40,45,stable_shared,20,20,20,20,True,True,True,0.15718602320505407,0.3351869340105388,-0.038861274356722694,0.2850477529645191,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_4_g0,0.965494505494505,0.9621978021978022,0.9335164835164835,0.6478260869565218,4H,4S,24,33,stable_shared,12,12,5,5,True,True,True,-0.0761866880606312,0.2584786176112251,-0.08494960166354507,0.176095566438842,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_6_g0,1.0,1.0,0.9814814814814814,0.9037433155080213,4H,4S,16,36,stable_shared,8,8,8,8,True,True,True,0.39566552849395636,0.1112048222853373,0.19015536243995917,0.06327981294968765,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_7_g0,0.973597359735974,0.9867986798679867,0.9692754989784693,0.5319148936170213,4H,4S,19,49,stable_shared,9,9,8,8,True,True,True,0.40099907190433964,0.089452672876072,0.05284992841964516,0.19237594397056065,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Nov_9_g0,0.957720588235294,0.9620655080213905,0.9217914438502673,0.593607305936073,4H,4S,34,39,stable_shared,17,17,9,9,True,True,True,0.4768547814038927,0.6103507539751365,0.44075087363293053,0.10285189405658401,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Oct_21_g0,0.990039008080245,0.9988854834215659,0.976177208135971,0.6844106463878327,4H,4S,28,59,stable_shared,14,14,4,4,True,True,True,0.38901163102349906,0.500421782488634,0.46817981888554117,-0.023463112129474606,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Oct_22_g0,0.999896608767576,1.0,1.0,0.8143459915611815,4H,4S,18,64,stable_shared,9,9,9,9,True,True,True,0.06861761451661987,0.262216392035646,0.16021330171936732,0.005203701556765611,0,20,4,8,,0
top_ten,svm,occupancy_bin,mean_removed,12,unith,12,Nielsen,4,Oct_25_g0,0.969401041666667,0.97021484375,0.921875,0.5207547169811321,4H,4S,76,11,stable_shared,5,5,4,4,True,True,True,0.12151338044369235,-0.3837907450344871,-0.0765631002921319,-0.05457558200326548,0,20,4,8,,0
