scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,177,1,0.6565807327001356,0.5348710990502035,0.017689555189559125,0.08735369787402783
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,194,1,0.7665829809725159,0.5211416490486258,0.05423353049300703,0.09655549948040049
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,213,1,0.7112021857923497,0.48715846994535517,0.036679579106083084,0.04437883213879411
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,259,1,0.7318202694427434,0.5254133496631965,0.03718440914904208,0.036358818010846526
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,258,1,0.7615236051502146,0.4855793991416309,0.04229990243261142,0.05701060067988284
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,1295,6,0.6726429104612399,0.46438402564085507,0.060319662667005565,0.11197061452199852
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),1,36,194,1,0.7661495962600935,0.3340416489587761,0.055100367184184186,0.08896040020231194
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),2,36,177,1,0.6242876526458616,0.46573948439620083,0.01360702040662047,0.09664566668938367
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),3,36,194,1,0.7122093023255813,0.5266913319238901,0.037987141389712924,0.12699210572162864
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),4,36,213,1,0.6715163934426229,0.44781420765027324,0.024641450302755954,0.13210162936209285
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),5,36,259,1,0.6376173708920188,0.48290467442335167,0.017079519498388915,0.07014055524871546
all,Faure,per-maze,"State bigrams, K=6",Logistic (L2),6,36,258,1,0.6418454935622318,0.5096995708154507,0.04630797798577955,0.06791599893842017
all,Faure,per-maze,"State bigrams, K=6",Random forest,pooled,36,1295,6,0.7318938754310901,0.49487578827649253,0.04402013839199581,0.0739587983030924
all,Faure,per-maze,"State bigrams, K=6",Random forest,1,36,194,1,0.7807054823629409,0.4530386740331492,0.06893682116382147,0.021143665709727092
all,Faure,per-maze,"State bigrams, K=6",Random forest,2,36,177,1,0.6916383989145183,0.5189959294436906,0.01627508990699297,0.04239160125824061
all,Faure,per-maze,"State bigrams, K=6",Random forest,3,36,194,1,0.7575977801268499,0.5293340380549683,0.015094406758955164,0.08738561480438577
all,Faure,per-maze,"State bigrams, K=6",Random forest,4,36,213,1,0.7385928961748633,0.47431693989071044,0.01455159386232077,0.11046883394506841
all,Faure,per-maze,"State bigrams, K=6",Random forest,5,36,259,1,0.7098642580118392,0.5036742192284139,0.010868484977952867,0.0452317195574233
all,Faure,per-maze,"State bigrams, K=6",Random forest,6,36,258,1,0.7200643776824034,0.49201716738197426,0.04129516905547807,0.10194622167523558
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,1295,6,0.8389638472186178,0.47820536205651887,0.05954836777241029,0.09637028793680716
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),1,144,194,1,0.919889502762431,0.4086272843178921,0.010779501301186682,0.07723406501665697
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),2,144,177,1,0.7725407055630936,0.532293080054274,0.01350688552616159,0.07288921567446695
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),3,144,194,1,0.8890063424947146,0.5060782241014798,0.021847154702591604,0.11959231747711914
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),4,144,213,1,0.7984972677595629,0.4306010928961749,0.04005978836012591,0.07914832294238557
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),5,144,259,1,0.7944350887936313,0.514288630332721,0.023175531124567987,0.1128490137711684
all,Faure,per-maze,"State bigrams, K=12",Logistic (L2),6,144,258,1,0.8641630901287554,0.4755364806866953,0.025787084259997792,0.08121550725810073
all,Faure,per-maze,"State bigrams, K=12",Random forest,pooled,144,1295,6,0.8332683461431196,0.4758393162225893,0.05358615806050282,0.06260045442184545
all,Faure,per-maze,"State bigrams, K=12",Random forest,1,144,194,1,0.8851466213344665,0.4585635359116022,0.061536465330874104,0.028673126123169565
all,Faure,per-maze,"State bigrams, K=12",Random forest,2,144,177,1,0.7558514246947083,0.5511533242876526,0.011390746544408173,0.051077009694190954
all,Faure,per-maze,"State bigrams, K=12",Random forest,3,144,194,1,0.8358879492600423,0.4727801268498943,0.0391093680112509,0.05532015650847115
all,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,213,1,0.8349726775956284,0.47349726775956286,0.03363122154316235,0.04044798131360205
all,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,259,1,0.8154215145948153,0.4666258420085732,0.03470982339325937,0.10976932248901991
all,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,258,1,0.8619098712446351,0.45064377682403434,0.029452246302370765,0.009917028521185117
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,1295,6,0.7038142848357269,0.4828025353272688,0.08584527627411342,0.11609646439218829
all,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,194,1,0.8738312792180196,0.5076498087547812,0.03100063357542055,0.17646284206632742
