scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,4738,6,0.5716326790252211,0.5382539964320224,0.01559110724542316,0.03904288959870593
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,676,1,0.5652992945655053,0.5368022919262581,0.011094588220959517,0.03898108713937419
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,683,1,0.5752215022480826,0.5351406153574891,0.0072462227964271795,0.023421077621556083
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,736,1,0.5619808945671867,0.5309875061763253,0.015724541763327365,0.05247282900199545
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,813,1,0.5926850111367177,0.5692343345650243,0.018159607633599924,0.061831389893139375
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),5,12,930,1,0.5609264878986396,0.5299740241679538,0.009135582125114623,0.0243026627503455
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),6,12,900,1,0.5736050420649329,0.5282198716003002,0.006463589597312725,0.017922394560170266
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,4738,6,0.6458423327350029,0.5153786545312526,0.016226713481123197,0.047049763873521916
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,676,1,0.6272038695878261,0.502943398447848,0.01056374414574652,0.03396182434478702
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,683,1,0.6366261130212465,0.5363968967645243,0.01023912305782733,0.011964621889309447
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,736,1,0.6322527705230465,0.47211046014603575,0.009791610376434312,0.06191946200961954
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,813,1,0.6508799938200873,0.5552522820615159,0.012458679897875607,0.061561072946288195
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,5,12,930,1,0.657298438966728,0.5101196477617574,0.011521931562797905,0.022608743125154252
allplus,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,6,12,900,1,0.6615605546042346,0.5135673010291448,0.007563847159885903,0.03842708991515964
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,4738,6,0.5859473955968542,0.5259170134681634,0.017237144656051705,0.036894962563152736
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),1,36,676,1,0.5758562836651198,0.4924550886453499,0.0068563691637444826,0.007837351760884579
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),2,36,683,1,0.5958520673543154,0.5243321872520497,0.012525213703193257,0.03949680410722857
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),3,36,736,1,0.571283616856074,0.5371912817737622,0.004830305325060519,0.012718005719173567
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),4,36,813,1,0.6046980211404513,0.5684103462038599,0.015006268461097948,0.029757721652834083
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),5,36,930,1,0.5692848202800225,0.5025677830148851,0.010762253327200983,0.022588078747851185
allplus,Faure,per-maze,"State bigrams, K=6",Logistic (L2),6,36,900,1,0.5982820383595535,0.5287753921574242,0.009491556445304219,0.04663632741774475
allplus,Faure,per-maze,"State bigrams, K=6",Random forest,pooled,36,4738,6,0.6502455806189886,0.5180459303281137,0.012493941356367106,0.03571174661936766
