scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,167,1,0.6439668174962292,0.5556561085972851
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,608,4,0.9519261905821068,0.5143301627753002
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,127,1,0.9677624872579,0.47706422018348627
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,155,1,0.9614266547406082,0.5110316040548599
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,159,1,0.9820593525179857,0.535431654676259
publication,Nielsen,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,167,1,0.9023755656108597,0.5256410256410257
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,608,4,0.6138112112231129,0.5441197464842774
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,127,1,0.6131498470948011,0.5252293577981652
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,155,1,0.572711687537269,0.49075730471079304
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,159,1,0.6205935251798561,0.5088129496402878
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,167,1,0.6460030165912518,0.641628959276018
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,608,4,0.6632395340558607,0.5669825196526168
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,127,1,0.6502293577981652,0.5104485219164119
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,155,1,0.6663312462731068,0.5295169946332737
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,159,1,0.6475719424460431,0.5305755395683454
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,167,1,0.6851809954751131,0.6794117647058824
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,608,4,0.6727655650670363,0.5290494360988793
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,127,1,0.7075688073394495,0.4691641182466871
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,155,1,0.6756112104949314,0.5253428741800835
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,159,1,0.6864208633093525,0.5408273381294963
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,167,1,0.630656108597285,0.5668174962292609
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,608,4,0.752410071779406,0.5452891324539144
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,127,1,0.7912844036697247,0.42686034658511723
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,155,1,0.7338998211091234,0.5336911150864639
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,159,1,0.7810251798561151,0.6417266187050359
publication,Nielsen,per-maze,"Codebook occupancy (binary), K=12",Random forest,4,12,167,1,0.7127828054298643,0.5542986425339367
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),pooled,36,608,4,0.7028959798216348,0.5336336777409563
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),1,36,127,1,0.7075050968399592,0.5338939857288482
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),2,36,155,1,0.6589519976147884,0.37865235539654146
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),3,36,159,1,0.7419064748201438,0.5946043165467626
publication,Nielsen,per-maze,"State bigrams, K=6",Logistic (L2),4,36,167,1,0.7030354449472096,0.6192307692307693
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,pooled,36,608,4,0.7292950768088216,0.5720277861999039
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,1,36,127,1,0.7480886850152906,0.5387359836901121
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,2,36,155,1,0.7350178890876565,0.46839594514013116
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,3,36,159,1,0.7226618705035971,0.6485611510791367
publication,Nielsen,per-maze,"State bigrams, K=6",Random forest,4,36,167,1,0.7160067873303166,0.6206636500754148
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),pooled,144,608,4,0.8462015175896989,0.5398147282833813
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),1,144,127,1,0.9081931702344547,0.5611620795107034
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),2,144,155,1,0.8298673225998807,0.44081693500298147
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),3,144,159,1,0.8741456834532375,0.6739208633093525
publication,Nielsen,per-maze,"State bigrams, K=12",Logistic (L2),4,144,167,1,0.7876131221719457,0.4877828054298643
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,pooled,144,608,4,0.7902088976771939,0.5657744994959805
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,1,144,127,1,0.8735346585117227,0.5700815494393476
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,2,144,155,1,0.7304710793082886,0.49552772808586765
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,3,144,159,1,0.8245953237410072,0.5994604316546763
publication,Nielsen,per-maze,"State bigrams, K=12",Random forest,4,144,167,1,0.7495475113122172,0.5956259426847662
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,608,4,0.7310245088996222,0.5947918083559776
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),1,25,127,1,0.7942150866462793,0.626401630988787
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,155,1,0.7229427549194991,0.560226595110316
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),3,25,159,1,0.7218075539568345,0.6377697841726618
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,167,1,0.6992458521870286,0.5619155354449472
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,608,4,0.8874017209968015,0.5585421312795973
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,1,25,127,1,0.8976172273190621,0.47782874617737003
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,155,1,0.8823419797257006,0.4916517590936196
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,3,25,159,1,0.9514388489208634,0.6066546762589928
publication,Nielsen,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,167,1,0.8233597285067873,0.6361990950226244
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,608,4,0.8457156462319935,0.528270414691786
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),1,100,127,1,0.8814984709480123,0.5935270132517839
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,155,1,0.8773852116875372,0.4798747763864043
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),3,100,159,1,0.8652877697841727,0.47032374100719426
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,167,1,0.7704751131221719,0.5787330316742081
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,608,4,0.9409886982926622,0.5338649106403226
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Random forest,1,100,127,1,0.9190876656472987,0.5884301732925586
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,155,1,0.9758497316636852,0.5034287418008349
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Random forest,3,100,159,1,0.974955035971223,0.5212230215827338
publication,Nielsen,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,167,1,0.8929487179487179,0.5326546003016591
publication,Nielsen,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,957,1,0.6344601263324121,0.6353335965258586
publication,Nielsen,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,957,1,0.8916436373207002,0.5988090538228714
publication,Nielsen,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,957,1,0.6465587577312805,0.6345900776417949
publication,Nielsen,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,957,1,0.919834846690354,0.6546519278852481
publication,Nielsen,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,957,1,0.6505806685090143,0.648026056060008
publication,Nielsen,across-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,957,1,0.6551026450848796,0.6450980392156862
publication,Nielsen,across-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,957,1,0.6673855112514805,0.6463547835241479
publication,Nielsen,across-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,957,1,0.7111725227003554,0.6435912620081589
publication,Nielsen,across-maze,"State bigrams, K=6",Logistic (L2),pooled,36,957,1,0.6443068166864061,0.6348927490459271
publication,Nielsen,across-maze,"State bigrams, K=6",Random forest,pooled,36,957,1,0.6801848927490459,0.6276417949730229
publication,Nielsen,across-maze,"State bigrams, K=12",Logistic (L2),pooled,144,957,1,0.7037768127385182,0.6366166600868535
publication,Nielsen,across-maze,"State bigrams, K=12",Random forest,pooled,144,957,1,0.7507106198183972,0.6559086721937097
publication,Nielsen,across-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,957,1,0.6738814317673377,0.6526779839452559
publication,Nielsen,across-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,957,1,0.883744571654165,0.68000394788788
publication,Nielsen,across-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,957,1,0.7137995130938282,0.6522766153441242
publication,Nielsen,across-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,957,1,0.888557704961179,0.6566127121989735
publication,Nielsen,across-maze,Maze identity (reference),Logistic (L2),pooled,6,957,1,0.8589551256744308,0.8589551256744308
publication,Nielsen,across-maze,Maze identity (reference),Random forest,pooled,6,957,1,0.8589551256744308,0.8589551256744308
