scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,per-maze,"State bigrams, K=12",Random forest,4,144,111,1,0.811715070643642,0.4874411302982732,0.035233668318618884,0.08276956110932092
publication,Faure,per-maze,"State bigrams, K=12",Random forest,5,144,152,1,0.8090909090909091,0.5257575757575758,0.04203600248755255,0.05643468977167256
publication,Faure,per-maze,"State bigrams, K=12",Random forest,6,144,123,1,0.9012784090909092,0.48214285714285715,0.030667997532741135,0.00995525774684282
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),pooled,25,477,4,0.7459544577084569,0.5109130353014392,0.05804935333039261,0.1335656243938383
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),2,25,91,1,0.7406949934123848,0.605072463768116,0.0358769682687056,0.1066242733149654
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),4,25,111,1,0.6964285714285714,0.5086342229199372,0.06795984822554864,0.03193693288911454
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),5,25,152,1,0.778219696969697,0.43712121212121213,0.0497099531806705,0.05812234209070002
publication,Faure,per-maze,"Gaze heatmap, 5x5",Logistic (L2),6,25,123,1,0.7546672077922079,0.5344967532467533,0.05694618030991967,0.22374670691362655
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,pooled,25,477,4,0.9879080188849979,0.494569520846182,0.016794473718317993,0.062254152375106696
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,2,25,91,1,0.9738965744400527,0.5339262187088274,0.013833001226525608,0.1176448881497397
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,4,25,111,1,0.9903846153846154,0.5,0.022360679774997918,0.0
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,5,25,152,1,0.9856060606060606,0.4734848484848485,0.015499924566417283,0.02205448418632952
publication,Faure,per-maze,"Gaze heatmap, 5x5",Random forest,6,25,123,1,0.9988839285714286,0.48660714285714285,0.0025124359297750507,0.03049183605681531
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),pooled,100,477,4,0.9454734753713717,0.5361233173996857,0.03452204102497058,0.12101355401852994
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),2,100,91,1,0.912302371541502,0.4769433465085639,0.03876352099377175,0.13085871672727512
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),4,100,111,1,0.9515306122448979,0.49293563579277866,0.015556455802135594,0.1302024490821854
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),5,100,152,1,0.9348484848484848,0.5689393939393939,0.03180526382060405,0.0816744603028837
publication,Faure,per-maze,"Gaze heatmap, 10x10",Logistic (L2),6,100,123,1,0.9776785714285714,0.578327922077922,0.00879503220051272,0.14199226152629738
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,pooled,100,477,4,0.978162785652275,0.497383413118647,0.022890837106147963,0.05033710330403484
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,2,100,91,1,0.9775197628458498,0.4492753623188406,0.02149409062953386,0.060302041352521776
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,4,100,111,1,0.9519230769230769,0.5,0.0024896479886598924,0.0
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,5,100,152,1,0.99375,0.4962121212121212,0.013975424859373685,0.008600261451922263
publication,Faure,per-maze,"Gaze heatmap, 10x10",Random forest,6,100,123,1,0.9830560064935066,0.5320616883116883,0.025146968802361558,0.07022943233873291
publication,Faure,across-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,660,1,0.5927974743664962,0.5687145531249127,0.005927310881343214,0.022955302551520968
publication,Faure,across-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,660,1,0.9358917944849552,0.5353840136339508,0.00850363603099376,0.04975531086962122
publication,Faure,across-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,660,1,0.6000230491995642,0.5505685469225826,0.010718070580840231,0.019556661639918017
publication,Faure,across-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,660,1,0.9567687816053418,0.5650266811946469,0.0026048486180201133,0.030802214295307485
publication,Faure,across-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,660,1,0.574152068840276,0.5619674237979493,0.009484430874399371,0.038471772973590765
