scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,4,12,176,nan,0.5022727272727273,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,5,5,12,213,nan,0.5003791218479986,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,6,6,12,209,nan,0.4909065934065934,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,2,12,289,0.9537735849056603,0.5361393323657475,0.006154515572181933,0.05997148228475219
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,3,12,297,0.9708256563795485,0.4797328420082911,0.010488014267831787,0.05279120054833612
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,4,12,306,0.9504698426573427,0.5623251748251749,0.01069426848949471,0.0476259856878575
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,5,12,343,0.9453819068255688,0.5467677862044059,0.009969470453021352,0.08235623107088118
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,6,12,339,0.9584882223040119,0.6078211262421789,0.009058274637197829,0.037704110067248976
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,3,12,326,0.9575895379053213,0.5638534252250216,0.01199046043794903,0.031692846508431675
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,4,12,335,0.9479792024013721,0.5746140651801028,0.00940400142099756,0.0202693466906639
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,5,12,372,0.9449021171051466,0.6768092833731951,0.01270597978620305,0.05936221513730323
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,6,12,368,0.9430238331678251,0.6966236345580934,0.01242738711777988,0.06356244063849764
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,4,12,343,0.9573906164942843,0.6002313554708765,0.012524937430850185,0.026012624421033734
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,5,12,380,0.9492564167439769,0.5403980770852661,0.006462999450725339,0.04938162225328943
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,6,12,376,0.9530162163710856,0.6025843050740625,0.010806773026450688,0.06175302120258542
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,5,12,389,0.9515444942381561,0.6179177336747759,0.007733058237745908,0.0394972120377331
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,6,12,385,0.9410885167464116,0.6151315789473684,0.009050478449798326,0.033052971080355965
publication,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,5,6,12,422,0.9651621852326078,0.5353685109059461,0.008547025750310612,0.04996236500010304
